municipio,periodo,ocorrencias,ocorrencias_ameaça,ocorrencias_calúnia,ocorrencias_difamação,ocorrencias_estupro,ocorrencias_injúria,ocorrencias_lesão_corporal_grave_ou_gravíssima___dolosa,ocorrencias_lesão_corporal_leve___dolosa,ocorrencias_vias_de_fato,feminicidios,populacao_total,populacao_feminina,alfabetizacao_total,taxa_violencia_100k,taxa_feminicidio_100k,taxa_violencia_mes_anterior,taxa_violencia_3_meses_atras,taxa_violencia_6_meses_atras,houve_violencia_mes_anterior,houve_violencia_3_meses_atras,houve_violencia_6_meses_atras,media_3_meses,media_6_meses,variacao_mensal,variacao_3_meses,variacao_6_meses,feminicidios_mes_anterior,media_feminicidios_3_meses,ano,mes,mes_seno,mes_cosseno,escalada
CANELINHA,2020-07-01,7.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12821,6320,94.3,110.75949367088609,0.0,126.58227848101266,79.1139240506329,142.40506329113924,1,1,1,94.9367088607595,123.9451476793249,-0.125,0.40000000000000036,-0.2222222222222222,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
CANOINHAS,2020-07-01,38.0,21.0,0.0,3.0,0.0,5.0,0.0,8.0,1.0,0.0,55016,27859,97.01,136.40116299938978,0.0,89.73760723644064,100.50612010481352,157.93818873613554,1,1,1,95.72011438553669,100.50612010481352,0.5200000000000002,0.3571428571428572,-0.13636363636363635,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
CAPAO ALTO,2020-07-01,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2625,1242,92.29,161.0305958132045,0.0,80.51529790660226,0.0,0.0,1,0,0,53.67686527106817,53.67686527106817,1.0,,,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
CAPINZAL,2020-07-01,10.0,4.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,23314,11661,96.28,85.75593859874796,0.0,137.20950175799675,85.75593859874796,85.75593859874796,1,1,1,102.90712631849756,94.33153245862276,-0.375,0.0,0.0,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
CAPIVARI DE BAIXO,2020-07-01,7.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,23975,12430,97.46,56.31536604987933,0.0,233.3065164923572,56.31536604987933,257.4416733708769,1,1,1,136.76588897827835,154.19683561276483,-0.7586206896551724,0.0,-0.78125,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
CATANDUVAS,2020-07-01,5.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,10566,5318,96.16,94.0203083866115,0.0,188.040616773223,94.0203083866115,300.86498683715683,1,1,1,162.96853453679327,200.5766578914379,-0.5,0.0,-0.6875,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
CAXAMBU DO SUL,2020-07-01,6.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4614,2273,92.23,263.96832380114387,0.0,219.9736031676199,43.99472063352398,87.98944126704797,1,1,1,87.98944126704798,73.32453438920663,0.19999999999999996,4.999999999999999,1.9999999999999996,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
CELSO RAMOS,2020-07-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2805,1379,93.03,72.51631617113851,0.0,72.51631617113851,0.0,217.54894851341552,1,0,1,72.51631617113851,96.68842156151801,0.0,,-0.6666666666666666,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
CERRO NEGRO,2020-07-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3317,1559,88.27,64.14368184733803,0.0,64.14368184733803,577.2931366260424,128.28736369467606,1,1,1,235.19350010690616,149.66859097712208,0.0,-0.888888888888889,-0.5,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
CHAPADAO DO LAGEADO,2020-07-01,6.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2950,1421,94.85,422.237860661506,0.0,0.0,0.0,492.61083743842363,0,0,1,46.915317851278445,129.01712409101572,,,-0.1428571428571428,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
